latitud 	longitud	ondulacion
-0.199052	-78.459781	27.316
-0.203046	-78.450999	27.262
-0.21913	-78.469161	27.312
-0.222513	-78.463998	27.366
-0.23048	-78.466149	27.342
-0.235569	-78.477206	27.367
-0.237772	-78.473001	27.339
-0.105249	-78.391256	27.08
-0.070825	-78.404324	27.068
-0.046538	-78.412125	27.108
-0.050997	-78.424542	27.164
-0.048219	-78.419288	27.121
-0.071471	-78.417576	27.131
-0.069042	-78.410715	27.108
-0.095864	-78.4083	27.14
-0.092591	-78.403002	27.082
-0.140178	-78.390032	27.08
-0.137055	-78.385572	27.084
-0.135948	-78.402586	27.198
-0.094049	-78.416555	27.114
-0.073226	-78.4245	27.183
-0.053223	-78.429964	27.177
-0.044919	-78.441639	27.1
-0.04506	-78.433507	27.172
-0.066106	-78.455239	27.154
-0.052419	-78.45818	27.18
-0.146133	-78.407359	26.973
-0.139801	-78.405508	27.031
-0.13457	-78.416533	27.149
-0.130461	-78.409043	27.164
-0.111114	-78.426288	27.206
-0.107381	-78.419334	27.208
-0.08858	-78.436893	27.239
-0.086432	-78.430702	27.219
-0.066117	-78.445407	27.207
-0.064511	-78.439225	27.331
-0.046921	-78.455664	27.162
-0.049607	-78.446366	27.101
0.013869	-78.465257	27.327
-0.007661	-78.465607	27.211
-0.021749	-78.464513	27.225
-0.06859	-78.463622	27.239
0.010926	-78.456467	27.165
0.010641	-78.450313	27.135
-0.012124	-78.455967	27.161
-0.017369	-78.447642	27.125
-0.024836	-78.455051	27.184
-0.036215	-78.44819	27.094
-0.023583	-78.441346	27.042
-0.018601	-78.436151	27.137
0.001767	-78.441908	27.103
0.004357	-78.433726	27.138
0.011778	-78.442962	27.095
0.020084	-78.443012	27.112
0.018962	-78.434015	27.072
0.018053	-78.413698	27.014
0.000816	-78.416079	27.022
-0.010561	-78.417957	27.027
-0.037388	-78.412347	27.109
-0.194685	-78.503416	27.666
-0.166677	-78.510723	27.752
-0.144166	-78.519065	27.942
-0.126441	-78.525897	27.851
-0.10757	-78.532742	27.716
-0.084468	-78.534199	27.687
-0.071785	-78.53898	27.73
-0.081122	-78.529036	27.761
-0.069121	-78.533475	27.747
-0.065188	-78.52828	27.777
-0.061899	-78.523304	27.564
-0.060791	-78.51808	27.735
-0.168143	-78.420916	27.119
-0.239908	-78.461608	27.364
-0.243454	-78.457869	27.422
-0.228577	-78.371476	27.323
-0.231758	-78.368009	27.372
-0.222819	-78.368865	27.304
-0.225198	-78.362744	27.385
-0.204143	-78.357894	27.285
-0.206926	-78.354777	27.313
-0.181109	-78.346639	27.315
-0.18283	-78.341423	27.35
-0.169864	-78.334424	27.389
-0.156302	-78.333309	27.353
-0.158057	-78.328971	27.381
-0.105493	-78.417424	27.216
-0.086164	-78.424617	27.207
